 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
    98   0.00251324  -0.00290602   0.00384205       -49.15
    99   0.00285687  -0.00262590   0.00388034       -42.59
   100   0.00319985  -0.00228598   0.00393253       -35.54
   101   0.00354112  -0.00188541   0.00401177       -28.03
   102   0.00386443  -0.00143264   0.00412144       -20.34
   103   0.00416073  -0.00093179   0.00426379       -12.62
   104   0.00442250  -0.00038616   0.00443932        -4.99
   105   0.00464395   0.00020567   0.00464850         2.54
   106   0.00482061   0.00083748   0.00489282         9.86
   107   0.00494913   0.00157734   0.00519441        17.68
   108   0.00502717   0.00218310   0.00548072        23.47
   109   0.00505333   0.00434626   0.00666530        40.70
   110   0.00502717   0.00218310   0.00548072        23.47
   111   0.00494913   0.00157734   0.00519441        17.68
   112   0.00482061   0.00083748   0.00489282         9.86
   113   0.00464395   0.00020567   0.00464850         2.54
   114   0.00442250  -0.00038616   0.00443932        -4.99
   115   0.00416073  -0.00093179   0.00426380       -12.62
   116   0.00386443  -0.00143264   0.00412144       -20.34
   117   0.00354112  -0.00188541   0.00401177       -28.03
   118   0.00319985  -0.00228598   0.00393253       -35.54
   119   0.00285687  -0.00262590   0.00388034       -42.59
   120   0.00251324  -0.00290602   0.00384205       -49.15
   121   0.00230543  -0.00304367   0.00381823       -52.86



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00305006   0.00220884   0.00376588       144.09
     2  -0.00355054   0.00199054   0.00407045       150.72
     3  -0.00150193  -0.00121458   0.00193158      -141.04
     4  -0.00181300  -0.00141736   0.00230128      -141.98
     5  -0.00208787  -0.00161763   0.00264120      -142.23
     6  -0.00233017  -0.00181533   0.00295383      -142.08
     7  -0.00253334  -0.00200371   0.00322997      -141.66
     8  -0.00269495  -0.00217883   0.00346555      -141.05
     9  -0.00281291  -0.00233704   0.00365708      -140.28
    10  -0.00288584  -0.00247524   0.00380196      -139.38
    11  -0.00291287  -0.00259073   0.00389830      -138.35
    12  -0.00289365  -0.00268121   0.00394488      -137.18
    13  -0.00282826  -0.00274474   0.00394115      -135.86
    14  -0.00271721  -0.00277975   0.00388719      -134.35
    15  -0.00256140  -0.00278503   0.00378381      -132.60
    16  -0.00236208  -0.00275972   0.00363256      -130.56
    17  -0.00212073  -0.00270325   0.00343585      -128.11
    18  -0.00183898  -0.00261532   0.00319714      -125.11
    19  -0.00151863  -0.00249595   0.00292165      -121.32
    20  -0.00116047  -0.00234486   0.00261630      -116.33
    21  -0.00076902  -0.00216432   0.00229688      -109.56
    22  -0.00032584  -0.00194332   0.00197044       -99.52
    23   0.00032953  -0.00160126   0.00163482       -78.37
    24   0.00103353  -0.00122031   0.00159917       -49.74
    25   0.00171880  -0.00081084   0.00190045       -25.26
    26   0.00231922  -0.00038797   0.00235145        -9.50
    27   0.00269820  -0.00007603   0.00269927        -1.61
    28   0.00299912   0.00022329   0.00300742         4.26
    29   0.00324297   0.00052035   0.00328445         9.12
    30   0.00342644   0.00081098   0.00352110        13.32
