 [antenna_chara1.dat]

 >>---------PARA ---------<< ** >>------- Impedance -------- ------<< ** >>------ Max-Direction Gain(dB) ----<< ** >>---- 0(deg)-Gain(dB) ----<<
         para1         para2 **    Zin.re    Zin.im  VSWR-50  VSWR-75 **    Angle       EƒÆ       EƒÓ   EƒÆ+EƒÓ **       EƒÆ       EƒÓ   EƒÆ+EƒÓ
      0.488449      0.046245 **    168.22    -10.39    3.379    2.254 **   28.000     5.353    -0.221     6.415 **   -11.339   -13.287    -9.194
      0.488449      0.046245 **    172.08    -10.10    3.455    2.304 **   28.000     5.385    -0.523     6.377 **   -11.396   -13.161    -9.179
      0.488449      0.046245 **    175.88     -9.95    3.530    2.354 **   28.000     5.413    -0.819     6.340 **   -11.455   -13.042    -9.166
      0.488449      0.046245 **    179.63     -9.91    3.604    2.404 **   28.000     5.438    -1.110     6.307 **   -11.515   -12.927    -9.154
      0.488449      0.046245 **    183.32     -9.99    3.678    2.453 **   28.000     5.460    -1.396     6.275 **   -11.578   -12.817    -9.143
      0.488449      0.046245 **    186.96    -10.18    3.751    2.502 **   28.000     5.480    -1.676     6.245 **   -11.641   -12.712    -9.133
      0.488449      0.046245 **    190.54    -10.47    3.823    2.550 **   28.000     5.498    -1.952     6.216 **   -11.707   -12.610    -9.125
      0.488449      0.046245 **    194.08    -10.86    3.895    2.597 **   28.000     5.513    -2.224     6.189 **   -11.774   -12.512    -9.117
      0.488449      0.046245 **    197.56    -11.34    3.965    2.644 **   28.000     5.527    -2.491     6.163 **   -11.843   -12.417    -9.110
      0.488449      0.046245 **    201.00    -11.91    4.035    2.691 **   28.000     5.538    -2.753     6.139 **   -11.913   -12.325    -9.104
      0.488449      0.046245 **    204.38    -12.56    4.104    2.737 **   28.000     5.549    -3.012     6.115 **   -11.985   -12.236    -9.098
      0.488449      0.046245 **    207.72    -13.30    4.173    2.783 **   28.000     5.558    -3.267     6.093 **   -12.058   -12.150    -9.093
      0.488449      0.046245 **    211.02    -14.12    4.240    2.828 **   29.000     5.566    -3.455     6.078 **   -12.132   -12.066    -9.089
      0.488449      0.046245 **    214.26    -15.02    4.307    2.873 **   29.000     5.573    -3.703     6.058 **   -12.208   -11.984    -9.084
      0.488449      0.046245 **    217.46    -15.99    4.374    2.917 **   29.000     5.579    -3.948     6.038 **   -12.286   -11.904    -9.080
      0.488449      0.046245 **    220.62    -17.04    4.440    2.961 **   29.000     5.584    -4.190     6.019 **   -12.364   -11.826    -9.076
