 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
   157   0.00156633   0.00145081   0.00213501        42.81
   158   0.00161383   0.00168026   0.00232975        46.16
   159   0.00163236   0.00188488   0.00249347        49.11
   160   0.00162261   0.00206289   0.00262457        51.81
   161   0.00158547   0.00221266   0.00272205        54.38
   162   0.00152208   0.00233279   0.00278543        56.88
   163   0.00143383   0.00242213   0.00281471        59.38
   164   0.00132236   0.00247983   0.00281038        61.93
   165   0.00118957   0.00250538   0.00277345        64.60
   166   0.00103758   0.00249861   0.00270548        67.45
   167   0.00086873   0.00245969   0.00260860        70.55
   168   0.00068556   0.00238920   0.00248561        73.99
   169   0.00049076   0.00228805   0.00234009        77.89
   170   0.00028716   0.00215752   0.00217655        82.42
   171   0.00007770   0.00199926   0.00200077        87.77
   172  -0.00013462   0.00181522   0.00182021        94.24
   173  -0.00034678   0.00160768   0.00164466       102.17
   174  -0.00055575   0.00137920   0.00148696       111.95
   175  -0.00075854   0.00113259   0.00136314       123.81
   176  -0.00095227   0.00087088   0.00129044       137.56
   177  -0.00113413   0.00059728   0.00128180       152.23
   178  -0.00130150   0.00031515   0.00133911       166.39
   179  -0.00145192   0.00002794   0.00145219       178.90
   180  -0.00158315  -0.00026083   0.00160449       189.36
   181  -0.00169317  -0.00054765   0.00177954       197.92
   182  -0.00178026  -0.00082903   0.00196383       204.97
   183  -0.00184295  -0.00110154   0.00214706       210.87
   184  -0.00188006  -0.00136191   0.00232152       215.92
   185  -0.00189076  -0.00160701   0.00248142       220.36
   186  -0.00187448  -0.00183391   0.00262238       224.37
   187  -0.00183102  -0.00203993   0.00274116       228.09
   188  -0.00176045  -0.00222268   0.00283540       231.62
   189  -0.00166316  -0.00238004   0.00290357       235.05
   190  -0.00153980  -0.00251023   0.00294486       238.47
   191  -0.00139126  -0.00261175   0.00295920       241.96
   192  -0.00121864  -0.00268343   0.00294718       245.58
   193  -0.00102312  -0.00272426   0.00291005       249.42
   194  -0.00080596  -0.00273342   0.00284976       253.57
   195  -0.00056763  -0.00270955   0.00276837       258.17
   196  -0.00031060  -0.00265232   0.00267045       263.32
   197  -0.00002272  -0.00255182   0.00255192       269.49
   198   0.00030910  -0.00240521   0.00242499       -82.68
   199   0.00062933  -0.00224103   0.00232772       -74.31
   200   0.00098332  -0.00202766   0.00225352       -64.13
   201   0.00125007  -0.00335738   0.00358255       -69.58
   202   0.00136292  -0.00321752   0.00349428       -67.04
   203   0.00154606  -0.00294053   0.00332220       -62.27
   204   0.00172856  -0.00260320   0.00312483       -56.42
   205   0.00191000  -0.00220528   0.00291742       -49.10
   206   0.00208205  -0.00175496   0.00272302       -40.13
   207   0.00223996  -0.00125640   0.00256826       -29.29
   208   0.00237966  -0.00071295   0.00248417       -16.68
   209   0.00249800  -0.00012321   0.00250104        -2.82
   210   0.00259251   0.00050657   0.00264154        11.06
   211   0.00266132   0.00124433   0.00293785        25.06
   212   0.00270312   0.00184844   0.00327469        34.36
   213   0.00271714   0.00400671   0.00484113        55.86
   214   0.00270312   0.00184844   0.00327469        34.36
   215   0.00266132   0.00124433   0.00293785        25.06
   216   0.00259251   0.00050657   0.00264154        11.06
   217   0.00249800  -0.00012321   0.00250104        -2.82
   218   0.00237966  -0.00071295   0.00248417       -16.68
   219   0.00223996  -0.00125640   0.00256826       -29.29
   220   0.00208205  -0.00175496   0.00272302       -40.13
   221   0.00191000  -0.00220528   0.00291742       -49.10
   222   0.00172857  -0.00260320   0.00312484       -56.42
   223   0.00154606  -0.00294053   0.00332220       -62.27
   224   0.00136292  -0.00321752   0.00349428       -67.04
   225   0.00125007  -0.00335738   0.00358255       -69.58



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00133745   0.00180433   0.00224597       126.55
     2  -0.00161134   0.00158787   0.00226224       135.42
     3  -0.00180741   0.00141791   0.00229721       141.89
     4  -0.00068715  -0.00207724   0.00218795      -108.30
     5  -0.00085434  -0.00225468   0.00241112      -110.75
     6  -0.00100308  -0.00241422   0.00261431      -112.56
     7  -0.00113520  -0.00255588   0.00279664      -113.95
     8  -0.00124731  -0.00267389   0.00295051      -115.01
     9  -0.00133827  -0.00276534   0.00307215      -115.82
    10  -0.00140716  -0.00282780   0.00315857      -116.46
    11  -0.00145350  -0.00285955   0.00320775      -116.94
    12  -0.00147710  -0.00285943   0.00321841      -117.32
    13  -0.00147809  -0.00282683   0.00318994      -117.60
    14  -0.00145686  -0.00276162   0.00312234      -117.81
    15  -0.00141408  -0.00266421   0.00301622      -117.96
    16  -0.00135068  -0.00253543   0.00287276      -118.05
    17  -0.00126784  -0.00237661   0.00269364      -118.08
    18  -0.00116698  -0.00218946   0.00248104      -118.06
    19  -0.00104973  -0.00197611   0.00223762      -117.98
    20  -0.00091793  -0.00173903   0.00196643      -117.83
    21  -0.00077360  -0.00148104   0.00167091      -117.58
    22  -0.00061891  -0.00120523   0.00135486      -117.18
    23  -0.00045614  -0.00091495   0.00102234      -116.50
    24  -0.00028768  -0.00061373   0.00067781      -115.11
    25  -0.00011601  -0.00030527   0.00032657      -110.81
    26   0.00005638   0.00000663   0.00005677         6.70
    27   0.00022697   0.00031808   0.00039076        54.49
    28   0.00039329   0.00062523   0.00073864        57.83
    29   0.00055290   0.00092422   0.00107698        59.11
    30   0.00070344   0.00121130   0.00140074        59.85
    31   0.00084268   0.00148285   0.00170556        60.39
    32   0.00096851   0.00173540   0.00198737        60.83
    33   0.00107899   0.00196573   0.00224239        61.24
    34   0.00117235   0.00217084   0.00246717        61.63
    35   0.00124703   0.00234804   0.00265865        62.03
    36   0.00130170   0.00249494   0.00281410        62.45
    37   0.00133522   0.00260949   0.00293126        62.90
    38   0.00134671   0.00269000   0.00300827        63.41
    39   0.00133551   0.00273512   0.00304376        63.97
    40   0.00130118   0.00274388   0.00303677        64.63
    41   0.00124350   0.00271567   0.00298683        65.40
    42   0.00116243   0.00265022   0.00289394        66.32
    43   0.00105808   0.00254754   0.00275853        67.45
    44   0.00093071   0.00240799   0.00258160        68.87
    45   0.00078029   0.00223170   0.00236418        70.73
    46   0.00060832   0.00202108   0.00211065        73.25
    47   0.00040735   0.00176665   0.00181301        77.02
    48   0.00016452   0.00145602   0.00146529        83.55
    49  -0.00008102   0.00113725   0.00114014        94.08
    50  -0.00035974   0.00077585   0.00085520       114.88
    51  -0.00063484   0.00040352   0.00075223       147.56
    52  -0.00086899   0.00005434   0.00087069       176.42
    53  -0.00109334  -0.00030621   0.00113541       195.65
    54  -0.00126973  -0.00062444   0.00141497      -153.81
    55  -0.00140832  -0.00091602   0.00168002      -146.96
    56  -0.00151736  -0.00118999   0.00192833      -141.89
    57  -0.00159582  -0.00144267   0.00215126      -137.89
    58  -0.00164436  -0.00167259   0.00234552      -134.51
    59  -0.00166342  -0.00187780   0.00250861      -131.54
    60  -0.00165369  -0.00205650   0.00263892      -128.80
    61  -0.00161607  -0.00220706   0.00273547      -126.21
    62  -0.00155172  -0.00232804   0.00279779      -123.68
    63  -0.00146204  -0.00241828   0.00282589      -121.16
    64  -0.00134871  -0.00247692   0.00282031      -118.57
    65  -0.00121365  -0.00250341   0.00278209      -115.86
    66  -0.00105903  -0.00249757   0.00271282      -112.98
    67  -0.00088722  -0.00245957   0.00261470      -109.84
    68  -0.00070081  -0.00238996   0.00249059      -106.34
